證券代碼,簡稱,年月日,市值(百萬元)
2361,鴻友         ,20050103,3399
3031,佰鴻         ,20050103,3378
6142,友勁         ,20050103,3373
1612,宏泰         ,20050103,3364
6197,佳必琪       ,20050103,3354
3030,德律         ,20050103,3348
3046,建碁         ,20050103,3332
6131,悠克         ,20050103,3315
6213,聯茂         ,20050103,3309
2706,第一店       ,20050103,3285
1309,台達         ,20050103,3282
3048,益登         ,20050103,3282
2340,光磊         ,20050103,3273
1321,大洋         ,20050103,3225
2457,飛宏         ,20050103,3196
6168,宏齊         ,20050103,3193
5525,順天         ,20050103,3159
2436,偉詮電       ,20050103,3127
3023,信邦         ,20050103,3113
1712,興農         ,20050103,3097
2459,敦吉         ,20050103,3095
6257,矽格         ,20050103,3093
3050,鈺德         ,20050103,3032
5521,工信         ,20050103,3030
1217,愛之味       ,20050103,3020
2476,鉅祥         ,20050103,3018
8039,台虹         ,20050103,2961
1416,廣豐         ,20050103,2941
2329,華泰         ,20050103,2938
3701,大眾控       ,20050103,2936
2465,麗臺         ,20050103,2930
6216,居易         ,20050103,2915
1517,利奇         ,20050103,2902
1715,萬洲         ,20050103,2868
1436,華友聯       ,20050103,2854
5388,中磊         ,20050103,2846
1515,力山         ,20050103,2837
1521,大億         ,20050103,2835
9919,康那香       ,20050103,2835
1442,名軒         ,20050103,2834
9918,欣天然       ,20050103,2821
3036,文曄         ,20050103,2817
1232,大統益       ,20050103,2815
2527,宏璟         ,20050103,2798
9942,茂順         ,20050103,2796
2461,光群雷       ,20050103,2761
5531,鄉林         ,20050103,2724
1218,泰山         ,20050103,2719
1806,冠軍         ,20050103,2715
2421,建準         ,20050103,2704
6189,豐藝         ,20050103,2670
2013,中鋼構       ,20050103,2652
3042,晶技         ,20050103,2652
2488,漢平         ,20050103,2636
1417,嘉裕         ,20050103,2619
1203,味王         ,20050103,2615
1524,耿鼎         ,20050103,2601
2108,南帝         ,20050103,2600
2450,神腦         ,20050103,2591
6214,精誠         ,20050103,2589
1709,和益         ,20050103,2582
1457,宜進         ,20050103,2575
2351,順德         ,20050103,2568
2478,大毅         ,20050103,2566
6136,富爾特       ,20050103,2558
6225,天瀚         ,20050103,2553
2359,所羅門       ,20050103,2539
6269,台郡         ,20050103,2527
2437,旺詮         ,20050103,2483
1449,佳和         ,20050103,2464
1618,合機         ,20050103,2435
1471,首利         ,20050103,2424
1315,達新         ,20050103,2415
1720,生達         ,20050103,2395
6141,柏承         ,20050103,2391
6201,亞弘電       ,20050103,2390
2028,威致         ,20050103,2345
2438,英誌         ,20050103,2344
9911,櫻花         ,20050103,2343
2433,互盛電       ,20050103,2325
5515,建國         ,20050103,2318
1530,亞崴         ,20050103,2301
2443,新利虹       ,20050103,2291
1603,華電         ,20050103,2276
3011,今皓         ,20050103,2275
5607,遠雄港       ,20050103,2266
3003,健和興       ,20050103,2263
2426,鼎元         ,20050103,2246
3057,喬鼎         ,20050103,2242
2427,三商電       ,20050103,2221
2390,云辰         ,20050103,2220
6192,巨路         ,20050103,2196
2601,益航         ,20050103,2185
1468,昶和         ,20050103,2173
2538,基泰         ,20050103,2162
1702,南僑         ,20050103,2161
3033,威健         ,20050103,2147
2516,新建         ,20050103,2128
6183,關貿         ,20050103,2046
1437,勤益         ,20050103,2037
6115,鎰勝         ,20050103,2031
2483,百容         ,20050103,2020
3061,璨圓         ,20050103,1990
1519,華城         ,20050103,1976
2460,建通         ,20050103,1973
2364,倫飛         ,20050103,1968
2032,新鋼         ,20050103,1948
1233,天仁         ,20050103,1943
2420,新巨         ,20050103,1942
2530,華建         ,20050103,1934
2464,盟立         ,20050103,1929
3028,增你強       ,20050103,1929
8105,凌巨         ,20050103,1904
1713,國化         ,20050103,1901
6206,飛捷         ,20050103,1881
1464,得力         ,20050103,1875
9935,慶豐富       ,20050103,1864
1533,車王電       ,20050103,1845
2383,台光電       ,20050103,1829
1512,瑞利         ,20050103,1826
3040,遠見         ,20050103,1822
1219,福壽         ,20050103,1796
3032,偉訓         ,20050103,1779
3013,晟銘電       ,20050103,1766
1733,五鼎         ,20050103,1765
2375,智寶         ,20050103,1761
1708,東鹼         ,20050103,1757
2911,麗嬰房       ,20050103,1743
2428,興勤         ,20050103,1737
1467,南緯         ,20050103,1706
2397,友通         ,20050103,1701
2472,立隆電       ,20050103,1695
6145,勁永         ,20050103,1691
2467,志聖         ,20050103,1690
1215,卜蜂         ,20050103,1682
1476,儒鴻         ,20050103,1675
6166,凌華         ,20050103,1669
6184,大豐電       ,20050103,1661
6133,金橋         ,20050103,1636
9944,新麗         ,20050103,1633
1463,強盛         ,20050103,1618
6108,競國         ,20050103,1608
4104,佳醫         ,20050103,1605
2413,環科         ,20050103,1603
2414,精技         ,20050103,1601
9926,新海         ,20050103,1596
1616,億泰         ,20050103,1582
1514,亞力         ,20050103,1548
6224,聚鼎         ,20050103,1548
1734,杏輝         ,20050103,1528
2423,固緯         ,20050103,1525
2442,新美齊       ,20050103,1513
1469,理隆         ,20050103,1495
1414,東和         ,20050103,1474
2497,怡利電       ,20050103,1461
6128,上福         ,20050103,1460
1418,東華         ,20050103,1451
2484,希華         ,20050103,1442
1446,宏和         ,20050103,1421
1724,台硝         ,20050103,1421
1536,和大         ,20050103,1412
1809,中釉         ,20050103,1410
1474,弘裕         ,20050103,1388
1617,榮星         ,20050103,1373
2611,志信         ,20050103,1373
2456,奇力新       ,20050103,1364
3027,盛達         ,20050103,1361
6117,迎廣         ,20050103,1350
1475,本盟         ,20050103,1338
3014,聯陽         ,20050103,1329
1525,江申         ,20050103,1317
2543,皇昌         ,20050103,1315
1725,元禎         ,20050103,1313
1735,日勝化       ,20050103,1312
5533,皇鼎建設     ,20050103,1299
4306,炎洲         ,20050103,1296
3002,歐格         ,20050103,1290
8112,至上         ,20050103,1284
8261,富鼎         ,20050103,1284
1413,宏洲         ,20050103,1282
2493,揚博         ,20050103,1279
9955,佳龍         ,20050103,1273
6155,鈞寶         ,20050103,1260
1452,宏益         ,20050103,1255
2616,山隆         ,20050103,1248
1236,宏亞         ,20050103,1231
1707,葡萄王       ,20050103,1229
1423,利華         ,20050103,1210
2482,連宇         ,20050103,1206
6172,互億         ,20050103,1206
1231,聯華食       ,20050103,1188
2486,一詮         ,20050103,1179
2399,映泰         ,20050103,1167
1443,立益         ,20050103,1162
6215,和椿         ,20050103,1162
2901,欣欣         ,20050103,1161
9902,台火         ,20050103,1160
1615,大山         ,20050103,1155
1432,大魯閣       ,20050103,1141
4414,如興         ,20050103,1141
1537,廣隆         ,20050103,1132
6278,台表科       ,20050103,1125
1439,中和         ,20050103,1123
2509,全坤建       ,20050103,1123
2613,中櫃         ,20050103,1112
6165,捷泰         ,20050103,1094
6205,詮欣         ,20050103,1065
1220,台榮         ,20050103,1062
3052,夆典         ,20050103,1058
1731,美吾華       ,20050103,1056
9105,泰金寶       ,20050103,1053
8081,致新         ,20050103,1052
2305,全友         ,20050103,1048
2424,隴華         ,20050103,1048
2024,志聯         ,20050103,1032
9931,欣高         ,20050103,1022
1445,大宇         ,20050103,1014
2302,麗正         ,20050103,1009
6283,淳安         ,20050103,1009
2491,吉祥全       ,20050103,1008
2702,華園         ,20050103,972
2453,凌群         ,20050103,965
1454,台富         ,20050103,957
1541,錩泰         ,20050103,955
2444,友旺         ,20050103,950
4106,雃博         ,20050103,948
2440,太空梭       ,20050103,946
2506,太設         ,20050103,944
2841,台開         ,20050103,927
2539,櫻建         ,20050103,925
1906,寶隆         ,20050103,921
8021,尖點         ,20050103,914
1225,福懋油       ,20050103,902
1435,中福         ,20050103,901
2434,統懋         ,20050103,886
2419,仲琦         ,20050103,869
2431,聯昌         ,20050103,852
1540,喬福         ,20050103,848
6164,華興         ,20050103,839
9929,秋雨         ,20050103,835
2033,佳大         ,20050103,825
1465,偉全         ,20050103,821
4108,懷特         ,20050103,819
1535,中宇         ,20050103,815
3054,萬國         ,20050103,813
1808,潤隆         ,20050103,807
3016,嘉晶         ,20050103,801
8374,羅昇         ,20050103,781
3058,立德         ,20050103,780
1325,恒大         ,20050103,775
2415,錩新         ,20050103,771
8940,新天地       ,20050103,763
2348,海悅         ,20050103,759
2466,冠西電       ,20050103,739
1506,正道         ,20050103,736
1410,南染         ,20050103,724
2358,美格         ,20050103,724
2455,全新         ,20050103,723
3018,同開         ,20050103,723
1323,永裕         ,20050103,721
4722,國精化       ,20050103,719
4119,旭富         ,20050103,715
1456,怡華         ,20050103,714
1526,日馳         ,20050103,701
1472,三洋紡       ,20050103,691
2425,承啟         ,20050103,689
1324,地球         ,20050103,685
8103,瀚荃         ,20050103,685
2471,資通         ,20050103,673
2462,良得電       ,20050103,668
1721,三晃         ,20050103,666
1727,中華化       ,20050103,666
1528,恩德         ,20050103,664
3209,全科         ,20050103,650
3025,星通         ,20050103,645
9912,偉聯         ,20050103,642
1516,川飛         ,20050103,623
3029,零壹         ,20050103,606
6112,聚碩         ,20050103,605
1466,聚隆         ,20050103,604
1539,巨庭         ,20050103,599
2546,根基         ,20050103,588
3090,日電貿       ,20050103,563
1235,興泰         ,20050103,557
2468,華經         ,20050103,532
2904,匯僑         ,20050103,523
1730,花仙子       ,20050103,510
1316,上曜         ,20050103,503
5706,鳳凰         ,20050103,498
1213,大飲         ,20050103,497
1529,樂士         ,20050103,475
5519,隆大         ,20050103,443
1441,大東         ,20050103,435
1732,毛寶         ,20050103,430
9103,美德醫       ,20050103,422
1613,台一         ,20050103,420
1470,大統         ,20050103,406
6226,光鼎         ,20050103,390
6243,迅杰         ,20050103,388
2537,聯上發       ,20050103,370
3047,訊舟         ,20050103,368
1453,大將         ,20050103,334
3056,總太         ,20050103,318
6177,達麗         ,20050103,280
9906,欣巴巴       ,20050103,229
2540,愛山林       ,20050103,197
2429,銘旺科       ,20050103,183
2496,卓越         ,20050103,179
2528,皇普         ,20050103,157
1438,裕豐         ,20050103,153
